,City Name,Lat,Lng,Temperature,Humidity,Cloudiness,WindSpeed
331,ankara,39.56380316930776,32.38581630528671,3,69,0,3.1
332,sao joao da barra,-27.835696413678058,-32.39437269179078,27,74,0,4.1
333,vinh,18.928273561301097,106.38091521553045,18.14,95,76,2.85
334,ilulissat,69.25521267723104,-49.719760599731075,-8,85,76,1
335,san felipe,-32.28940783986655,-70.58770919272894,24,36,0,6.2
336,dehloran,31.99249374478734,46.47412359886286,12.59,56,0,1.65
337,salalah,20.11592994161802,51.92662205101428,23,53,0,1.5
338,micco,27.984153461217687,-80.45809303104286,23.72,65,75,3.6
339,batsfjord,75.19349457881569,31.083992459993624,-9.64,78,0,10.3
340,jagalur,14.474562135112606,76.5119481713271,20.99,69,64,0.65
341,cayenne,6.160967472894086,-50.11474977174302,27,83,0,2.6
344,longyearbyen,79.35029190992495,16.12905838963647,-15,60,40,9.8
345,norman wells,76.52960800667225,-119.67039446757309,-7,79,90,2.6
346,ankazobe,-18.037531276063376,46.78609149173556,17,88,20,1.05
347,aden,12.099249374478745,44.6873153011737,26.04,96,0,6.55
348,tasiilaq,59.16013344453714,-35.19391316672906,3,69,92,4.1
349,santa maria,18.482902418682244,-22.142400095079438,19,88,40,1.5
350,zaraza,7.793994995829863,-66.06568821826335,26.79,48,0,6.7
351,varnamo,57.08173477898251,13.734879259741604,-6.48,79,0,1
352,mar del plata,-65.395329441201,-33.06685656493764,9.74,68,0,4.3
353,chapais,54.70642201834863,-74.2247955670274,-9,52,40,4.6
354,almaznyy,64.35613010842371,115.8300578078647,0.94,95,88,2.85
355,maryville,40.45454545454547,-94.54648614713875,4.76,65,90,6.7
356,calama,-23.381984987489574,-67.67884541203219,23,15,0,9.3
357,yellowknife,59.60550458715596,-111.65640251392381,-11,61,20,6.2
359,wuwei,37.485404503753145,102.29625940840003,-1.52,59,0,2.8
360,brae,61.83236030025023,-1.7177123032898436,5,80,80,6.7
361,bozoum,6.457881567973317,16.11136973126122,22.19,82,32,4.2
363,jizan,16.404503753127614,43.44895888346463,28,65,0,1.5
364,margate,-35.407005838198494,36.77950344315167,9,70,75,4.6
365,monte escobedo,22.342785654712273,-103.53759737564732,26.59,10,0,1
366,campo formoso,-10.46622185154294,-40.34114758434686,29.04,46,92,3.3
367,saint-augustin,51.29190992493747,-61.13650009685018,5.55,65,0,5.1
368,thompson,58.12093411175982,-93.5719291396267,0,65,20,1.5
369,mwene-ditu,-7.497080900750618,23.151211781750817,18.29,98,92,1.15
370,guarapari,-23.975813177648035,-35.75704245690723,27,83,40,6.2
371,jiwani,22.936613844870735,61.90377205109158,20.14,96,0,3.45
372,constitucion,-35.703919933277724,-73.13708086787418,26,8,5,2.1
373,jian,26.64804003336114,114.70261968303569,16.84,60,8,1.55
374,panjab,34.07089241034197,67.02620238450737,-8.02,72,0,0.95
376,quatre cocos,-18.631359466221852,63.89453914391268,26,83,75,2.55
377,ponta do sol,15.66221851542953,-35.58673242459882,20.74,87,12,0.85
378,sibolga,-1.2618849040867275,95.43828013477349,19.64,100,36,0.6
379,bintulu,5.2702251876563935,110.73096876882082,24,100,75,2.1
380,alvand,36.29774812343621,49.40928590948943,9,49,0,1
381,turbat,25.905754795663057,62.8513496438018,13.59,79,0,1.15
382,touros,-3.191826522101749,-33.46456434610603,27.34,84,92,4.2
383,la ronge,57.230191826522116,-106.23920911724908,2,64,90,5.7
385,vallenar,-28.429524603836526,-72.75780862136298,15.94,86,0,0.75
386,maceio,-10.763135946622185,-35.010775154408606,25,88,0,2.6
388,marsa matruh,28.72643869891577,26.39526344339248,17,93,20,3.6
389,tatarsk,55.151793160967486,75.98904400393536,-7.92,91,92,1.55
390,elizabeth city,35.110091743119284,-75.48489544872504,5.8,93,90,8.2
391,sao filipe,9.723936613844884,-29.627405316840765,21.49,95,0,8.5
393,comodoro rivadavia,-48.91659716430358,-65.88408928568593,12,54,0,7.2
394,adrar,27.390325271059226,-3.412335856360926,23,28,0,3.1
395,sorland,67.17681401167641,10.369400804607153,4.19,98,88,7.7
396,chara,55.44870725604673,118.31069598973812,10,61,20,3.6
397,francisco sa,-16.4045037531276,-43.23424953759634,19.29,92,8,1.35
398,botou,37.782318598832376,116.86583385287634,0.09,68,24,2.05
399,jaroslaw,49.8073394495413,22.65356384811068,-5,92,80,3.6
400,orizona,-16.99833194328606,-48.23245532216093,20.49,91,0,1.6
401,bar harbor,44.31442869057548,-67.83922029637424,4,38,1,2.6
402,tucuman,-26.796497080900743,-67.0746230738453,17.49,71,56,1.2
404,mana,7.645537948290254,-53.62412713436872,-1.24,100,92,3.1
405,yangjiang,21.452043369474566,111.83965625164407,15.09,100,0,8.8
406,bulgan,48.174311926605526,102.46545777075431,-1.57,83,76,2.6
408,lishui,28.577981651376163,119.32958446679743,4.14,76,76,2.9
409,punta arenas,-88.25771476230192,-107.25367729637762,10,53,40,4.1
410,caravelas,-21.748957464553783,-24.953229153496665,27.54,100,0,8.15
411,camacha,36.149291075896585,-18.19911532816937,16,72,40,4.6
412,upernavik,71.33361134278567,-57.64729897519251,-20.47,95,24,2.05
413,uruguaiana,-29.765638031693072,-57.43691136491491,24,53,0,2.1
414,falkenberg,56.93327773144287,12.36411053587446,-2.36,74,75,1.5
415,bloomfield,36.59466221851544,-107.18429164323881,3.75,69,88,2.1
416,marrakesh,32.28940783986657,-7.98627371033929,10,53,40,4.6
417,kaihua,23.530442035029196,104.68631186727657,4.34,80,76,2.2
418,canarana,-11.653878231859878,-41.85916475158439,21.59,83,36,0.95
419,gayeri,12.247706422018354,0.3601781270817668,29.29,49,92,4.35
420,souris,46.838198498748966,-62.131015487490515,-1,54,20,2.6
422,san cristobal,-2.746455379482896,-87.58134709049958,17,63,75,3.1
423,shakawe,-16.70141784820683,21.57990972088919,19.94,87,36,1.25
424,benton harbor,41.939115929941636,-86.68816909850833,5.02,38,1,4.1
427,klungkung,-8.38782318598831,115.42949942352777,23.49,99,8,1.05
428,mezen,70.88824020016682,46.15930943539644,-25.02,61,8,1
